_id,email,location,sector,role,established_dt,type_dt_other,assurance_meaning,assurance_mechanisms[0],assurance_mechanisms[1],assurance_mechanism_other,assured_properties[0],assured_properties[1],assured_properties_other,asset_data_sharing,partner_trust_difficulty,partner_trust_challenges[0],preparedness_for_argument,communication_impact,communication_methods[0],communication_methods[1],integrate_assurance,link_assurance_activities,satisfaction_justification,ethical_framework_existence,familiarity_with_gemini_principles,value_of_guiding_principles,framework_description,framework_development,benefits_of_visual_tool,need_for_visual_tool,reasons_against_visual_tool,operationalization_challenges,support_for_assurance[0],support_for_assurance[1],support_for_assurance_other,ranking_support_options,modification_date,consent_0,consent_1,consent_2,consent_3,consent_4,consent_5,consent_6,consent_7,consent_8,consent_9,project_interest,workshop_interest,challenge_curation,challenge_evolution,challenge_federation,challenge_good,challenge_insight,challenge_openness,challenge_quality,challenge_security,challenge_value,relevance_curation,relevance_evolution,relevance_federation,relevance_good,relevance_insight,relevance_openness,relevance_quality,relevance_security,relevance_value
56,wehrtxrzmd@example.com,United Kingdom,Water,Developer/Engineer,No,hRSYdAREzg,EEeFcSKZMMnfUDdiKwxQpPRFljWCWOuqxOHkRaDVzGyqbprcXE,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",tgLEGAQVTb,Fairness,Quality,ZXRTTgCWlj,No,Neutral,Intellectual Property Rights,Somewhat unprepared,Neutral,Not Systematically,Meetings,Agree,Disagree,Very satisfied,No,I have helped develop them.,Extremely valuable,TlTsZNcdHkhBIfIFnemLWoamGrUUxlRTQUIhAzuZmvqaLxBBjC,Adapted existing framework / standards,RRvtGmfrtpZqCHtesVMbrQkfFNDszUzGegYDxzgmxbOhKWsIzw,No,ByhKEvwPSeZPePpfgWixcYaSFLIfVBfZArRwZwjeByGSLWDzIb,ZhCwjIfBmDwibCxccZJaVuRcsMkPKwHeFmLrRCNdBFqJENLtbt,Other (Please specify),Other (Please specify),ojFXJVTlvRaVuGsxAAUzZnHkJKSdszCgLyFzhdBsHiQJIoufwb,"['Value demonstration', 'Tools to easily create Assurance Cases', 'Business case justification', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training']",2023-10-20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely challenging,Not challenging at all,Moderately challenging,Moderately challenging,Moderately challenging,Moderately challenging,Slightly challenging,Moderately challenging,Not challenging at all,Extremely Relevant,Not Relevant,Very Relevant,Extremely Relevant,Not Relevant,Slightly Relevant,Not Relevant,Extremely Relevant,Slightly Relevant
57,mzexvueuwn@example.com,Spain,Construction,Middleware/API Developer,Indirectly (We support clients or provide components for their digital twins),SgupJPyLaJ,ifRhCLzIpuklLsihnkmMZQavUMtXHYIKqdWGQjqUJnrPSlxcXC,"Information Security Reviews (e.g., safeguarding data and systems)","Compliance Audits (e.g., verifying adherence to laws and regulations)",gqjovhmFCR,Evolution,Public Good,PYlZAVtoss,No,Very Easy,Client Sponsor,Not prepared at all,Neutral,Non-standardized written Reports,Written Reports following established standards,Strongly disagree,Strongly disagree,Somewhat satisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Moderately valuable,dVIigQwOxlYuqInBUkSPjFEpSmiVCfivVdFQmRBdMLPNlSfGFl,Adapted existing framework / standards,GqvhPaHMYkHRTliSxEHUalDxlksHTagixtDJRVkvjlbuqLRSnk,I need to know more about this tool to decide,WnuzOWcAoCPCqsaqzxCFERmTKdUzGOZmnlExIZESqXfzxKfmXd,wtcBvpzTavIcpDsKPolFSfBqNabzntKEhfRtwBLhZEkekOcbKb,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Regulatory Clarity and Compliance Guidance,wSYyYOcKeECeHIUkxJEttcfCDnTzBwtdvQtfgHsAxyCLEwTAMo,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Step-by-Step Guidance / Skills Training', 'Awareness Programs for Assurance', 'Value demonstration']",2020-08-14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely challenging,Extremely challenging,Slightly challenging,Extremely challenging,Not challenging at all,Slightly challenging,Moderately challenging,Extremely challenging,Moderately challenging,Not Relevant,Very Relevant,Slightly Relevant,Very Relevant,Very Relevant,Moderately Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant
58,aritgpreoc@example.com,United Kingdom,Water,Technical Manager/Lead Developer,Yes,DBTOxQtCav,AjBDoXONzGobYrNgPQlXfSZgTxkNjgGHHyEcCJwwXltTbyTkoU,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",cVIPGzgYVb,Explainability,Safety,JOLCgKbpUJ,No,Somewhat Easy,Lawyer mis-alignment / legal agreement barriers,Somewhat prepared,Agree,Other,Interactive Platforms,Agree,Neutral,Neutral,No,I have helped develop them.,Not valuable at all,uMZbuPiYXcHhHTHfcZIIfjBlWpGQVLomflTeNAlCgjvqGScTRL,Internal governance process,HSzPdlDKEVbXMrQtcaBWkjzTiOjCrRXjvhQZnmyVzZiXxcGRpr,I need to know more about this tool to decide,aDqHIHMAPKIlviyJckNSKYYFJlgXXeHgCTWnAMLVHgpjXVEmgh,yOUfsInZOFxwQiGRdxUFDZguiNBpBxRkZPEgdjRkoZZyPAcPvv,Step-by-Step Guidance / Skills Training,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,ewtctfagwmEigQKIIOvOVOzoMWtfxMgqMJHgKvxKqoVWHhASpw,"['Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Business case justification', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2022-03-16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Slightly challenging,Very challenging,Not challenging at all,Extremely challenging,Very challenging,Slightly challenging,Moderately challenging,Slightly challenging,Very challenging,Not Relevant,Extremely Relevant,Slightly Relevant,Very Relevant,Very Relevant,Slightly Relevant,Extremely Relevant,Not Relevant,Slightly Relevant
59,kvzvltninq@example.com,United Kingdom,Renewable Energy,Semantic Web Technologist,No,EbTFppWhUb,rVnrmNcQzUejJHrvfgrjKuJkGyUtBNSTqBYEQzRnURMtiXpJPK,"Formal Verification (e.g., rigorously proving system properties)","Data Quality Checks (e.g., ensuring accuracy and reliability of data)",wnoSMglPvG,Interoperability,Safety,IKmkokBQbq,No,Somewhat Difficult,Intellectual Property Rights,Very prepared,Strongly agree,Other,Written Reports following established standards,Agree,Agree,Neutral,No,I've seen them but don't use them in my work.,Not valuable at all,geRLEjsTIyrbCCqyVSJZnBnQPlWwdgNophlFrvqilJkWkTsUzN,Reused existing framework / standards,jhswXudOYquWhVwZfcPGczuLEDrWCDmSBUfCfHVawmfDxWPVBx,I need to know more about this tool to decide,WQFtUjpZXHhLLxuNdGgkfrDugfKveemwrGQcNGJRVnWKZvEeHe,SocmGnlbuISPkWRqMserpZlCvKJxJyOURMSikSHbFbujSdYXPx,Step-by-Step Guidance / Skills Training,Other (Please specify),PZblCibAoyheWOrsAYNaSqGbfWXRNgnFLRuwGZLsvsYqRtsgpJ,"['Step-by-Step Guidance / Skills Training', 'Value demonstration', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Regulatory Clarity and Compliance Guidance', 'Tools to easily create Assurance Cases', 'Business case justification']",2022-07-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Slightly challenging,Not challenging at all,Very challenging,Very challenging,Moderately challenging,Slightly challenging,Very challenging,Very challenging,Very challenging,Slightly Relevant,Not Relevant,Slightly Relevant,Moderately Relevant,Extremely Relevant,Extremely Relevant,Moderately Relevant,Extremely Relevant,Not Relevant
60,gprulssrtk@example.com,United Kingdom,Technology,Project/Program Manager,Indirectly (We support clients or provide components for their digital twins),gEZsIfIbkq,SAqBvpOxIiIgJjpIfmzFqFfaCgZfRYgoRRrfXdNBzYpSNxRHME,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)","Impact Assessment (e.g., assessing effects on stakeholders and environments)",TUMGxWPmob,Fairness,Openness,TeqbcfwjUb,Yes,Not Applicable,Concerns re confidentiality of data,Neutral,Strongly disagree,Not Systematically,Non-standardized written Reports,Agree,Strongly agree,Very unsatisfied,I don’t know,I've heard of them but don't know much.,Slightly valuable,VAFQkIQiiokBKdQMaVmEBipYpnrYPJiOkjIvcAsFQfNoOgVuhy,Reused existing framework / standards,tUOKrnuanNoZvDLvSwmuykgMfKmOmkoCqWXxwWLlHqLdHysLQY,No,aIOpDgdKuKgtKCXLdpaCShRAQIsfLuiHaKiZmGJLmfDGYgIZtK,XepJYYSHQINaxqFympXDkcgMMDeuFoKFtPyEvrFZdlNtcmwiZz,Business case justification,Business case justification,TjwiLiqVqZBLQVUYwbNNTlveKTQZYzIXVPsXGZJdKFEzQpmauz,"['Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2020-11-10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Slightly challenging,Moderately challenging,Very challenging,Not challenging at all,Slightly challenging,Extremely challenging,Extremely challenging,Slightly challenging,Slightly challenging,Very Relevant,Extremely Relevant,Extremely Relevant,Not Relevant,Not Relevant,Slightly Relevant,Not Relevant,Moderately Relevant,Not Relevant
61,thymsugegp@example.com,United Kingdom,Renewable Energy,Other,No,qHegQUkELV,wHeUSaCxqetyUPUhbvRJfEDmgyDUseUtoLncHLfKnjIFVuQuXE,"Information Security Reviews (e.g., safeguarding data and systems)","Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",USqICnwnzg,Ethical Integrity,Fairness,EuzDXSUgqs,Yes,Neutral,Regulatory concerns around data protection,Very prepared,Strongly agree,Meetings,Digital Communications,Strongly disagree,Strongly disagree,Somewhat satisfied,Yes  / Something similar,I've heard of them but don't know much.,Moderately valuable,QZCiJpbstYvtCdfuRLBluavbfvefosjwZWXnHcqgfvMXQcYBhD,Developed by an external consultant,UiPIjOsiNoWyATRjjYkxEnUiVakmaDhUGsdnJvvsGcDprQnRyL,Yes,mhhXeFPSGGswpiTjQaAtlTlfcZheMOcAIqUkAqSWsPSzPszdFJ,RAFoYcizcUqWPuNFwJPUaDaTpbTfabrnMVvMhnRRjKpXFLOGOL,Business case justification,Awareness Programs for Assurance,VWUCefFxGYylExJAcVnWIeMCgdZGkQxEQCfGQbDsUpPeSlOMbC,"['Business case justification', 'Awareness Programs for Assurance', 'Step-by-Step Guidance / Skills Training', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Tools to easily create Assurance Cases', 'Value demonstration']",2022-11-18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Slightly challenging,Very challenging,Slightly challenging,Not challenging at all,Extremely challenging,Not challenging at all,Very challenging,Very challenging,Not Relevant,Not Relevant,Very Relevant,Extremely Relevant,Moderately Relevant,Very Relevant,Extremely Relevant,Slightly Relevant,Moderately Relevant
62,qhnhzpmbnk@example.com,Belgium,Education,Other,Yes,EbvlqmljDF,IzZBiLAWCNMnZnvVUbjHSjWqCKLyOPdGKoGJWYBCVTcVlnwUpv,"Risk Assessment (e.g., evaluating potential risks in projects)","Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",qLVwSErHql,Contestability,Ethical Integrity,AhnThzATUp,No,Somewhat Easy,Info security etc,Somewhat prepared,Strongly disagree,Digital Communications,Digital Communications,Agree,Neutral,Very satisfied,Yes  / Something similar,I've seen them but don't use them in my work.,Moderately valuable,lgDUYgiRtmGAVUltmYgEkYakDCOllQUuaEOkhFnUguPxOPAqmS,Adapted existing framework / standards,YqhtsTBmcdwzuyYhOAEyUKytCJFWPWKFxCtXkNceXvrctCoEnC,Yes,hgkGqfFtomuBOWctvFJEXIUtxguNhcvSdHuFnFSmTHXqTbGaeG,JOSIAhkbbKuqkVjQkJddeasizxXPVycJRsgXBJAJqXplKEGjUV,Tools to easily create Assurance Cases,Tools to easily create Assurance Cases,wBGRXRTSfHpLfBlPcdbMvFBFCmznJQUMbyPHnTjPFRMfMIEzvN,"['Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Value demonstration', 'Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases']",2022-05-21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Moderately challenging,Slightly challenging,Moderately challenging,Moderately challenging,Extremely challenging,Moderately challenging,Very challenging,Moderately challenging,Extremely Relevant,Extremely Relevant,Very Relevant,Slightly Relevant,Not Relevant,Extremely Relevant,Slightly Relevant,Not Relevant,Very Relevant
63,mblasymgil@example.com,United Kingdom,Education,Compliance Officer/Regulatory Affairs Manager,No,unakMtYQzr,yYKACteKxRFHGdqVRAGNOkjRjCtuAdQMhjcPAhgbdZnxdWjAiM,"Risk Assessment (e.g., evaluating potential risks in projects)","Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)",bKRiAriJHj,Sustainability,Quality,fJjCLGlbFU,Yes,Not Applicable,Intellectual Property Rights,Not prepared at all,Neutral,Interactive Platforms,Non-standardized written Reports,Strongly agree,Strongly disagree,Somewhat satisfied,I don’t know,I have helped develop them.,Extremely valuable,fHdFgCStvoMnWticUxonorhplirCTUVvGjPwsKgMGuJsTWSjMJ,Select,bRkrAWHIcRDcdwQhNkdCsZJPemQRXzxDgEvxRnDOKmMkHIdCut,No,PpiJmIaWbAYtiIOmarwcGkMGgJCIrmNOWwpMNbqKXjAyBhfZnX,opUKQljHvuENFWZOuWvNZQPelPWLYvlsZOzIpBioluhDEumFoI,Other (Please specify),Awareness Programs for Assurance,cKuaeRvkYOwlwOXRpmDeHZpXiTEhcSaarvmYklsQpyZuAeeEhf,"['Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Business case justification', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-12-14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not challenging at all,Very challenging,Slightly challenging,Very challenging,Not challenging at all,Very challenging,Moderately challenging,Very challenging,Extremely challenging,Moderately Relevant,Slightly Relevant,Very Relevant,Extremely Relevant,Not Relevant,Extremely Relevant,Not Relevant,Slightly Relevant,Moderately Relevant
64,crdblqxjfs@example.com,United Kingdom,Buildings,Executive/Decision-Maker,No,ESnDyVcUzG,MHSmpASEkBadwHXHtvMOblWlMoSoyxZnWVnyfagMqLfpGjkFsA,None,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",sBPzQChxtA,Federation,Fairness,BftABrhiIo,No,Very Easy,Lack of trust in partner organisation,Very prepared,Neutral,Digital Communications,Visual Aids,Strongly agree,Neutral,Somewhat unsatisfied,I don’t know,I incorporate them in my work as guidelines.,Moderately valuable,nOdWUczoDJROsViCJiKxIlxRZuOZxLzPPdVLwKUwstzviixnba,Internal governance process,ukxcTINRRnXIUWlePfmDLKTRGTRXUudYhGFNQONdXrnzIcVdew,No,SmGzNphptMxZjhSCRCPQrzCAqjvLcLqfgzZrDggtvlaEBScZcy,lBYfojhLmwfUMzmHRLTcZmhHZWMlOLdFqjavETEBEyUUJRBERu,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Tools to easily create Assurance Cases,yNzpiGTobmcCfovicLmPLbxOTFzLfmPWkHsDLxijJqVQGyBCYa,"['Regulatory Clarity and Compliance Guidance', 'Business case justification', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance']",2020-01-12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Extremely challenging,Very challenging,Moderately challenging,Not challenging at all,Moderately challenging,Slightly challenging,Extremely challenging,Not challenging at all,Moderately Relevant,Slightly Relevant,Not Relevant,Moderately Relevant,Not Relevant,Slightly Relevant,Not Relevant,Moderately Relevant,Not Relevant
65,reouaisqvk@example.com,United Kingdom,Education,Technical Manager/Lead Developer,Yes,hhdPPVUeqk,LusZFIAmFfZyakKAaKCYCraSNiKipecWpGNFYLbjMdqkexELoY,"Data Quality Checks (e.g., ensuring accuracy and reliability of data)","Post-Implementation Evaluation (e.g., reviewing performance and outcomes after deployment)",KDEdvydTdn,Public Good,Transparency,HbGHENtddE,No,Very Easy,Loss of control of data,Somewhat unprepared,Agree,Digital Communications,Meetings,Disagree,Neutral,Very satisfied,I don’t know,I've seen them but don't use them in my work.,Slightly valuable,QUScutpXchWILVtseDuPAFePJvVAtzNsdCLtqFbKHbnOZtXiKY,Developed by an external consultant,XRgOYZvDsOhUMjqzByYtSBJBFIQbJaQfrJHtzAbwXYGkxGhNst,No,DHvImbHnGZdqBxmDmwzTfZGXdQFYNfNnthOgjWSpjMkxUcZiWd,vRRVBGqKBqwjscNoBOjXyQVUyxVjMCTOyUHCHchseYTsGrsEzc,Step-by-Step Guidance / Skills Training,Tools to easily create Assurance Cases,LZsHnuoBpjtWUsPqzWSdKqPJZPOaYZSgeShmcFBJtxUXqILVFO,"['Business case justification', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Awareness Programs for Assurance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training']",2021-12-01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Extremely challenging,Extremely challenging,Very challenging,Not challenging at all,Slightly challenging,Slightly challenging,Not challenging at all,Slightly challenging,Very challenging,Moderately Relevant,Moderately Relevant,Slightly Relevant,Slightly Relevant,Extremely Relevant,Slightly Relevant,Moderately Relevant,Very Relevant,Extremely Relevant
66,abwrjpawtk@example.com,United Kingdom,Technology,Project/Program Manager,Indirectly (We support clients or provide components for their digital twins),XiMqgYshcs,htblcdNvuhUocOwVYHuNXtApGdcoMvXwkcqgsABLzmGcSzikKQ,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)","Bias Reviews (e.g., identifying and mitigating biases in processes or outputs)",QmnneMVuOO,Quality,Fairness,UujCRHqGpq,Yes,Neutral,Client Sponsor,Neutral,Strongly disagree,Digital Communications,Other,Strongly disagree,Neutral,Somewhat satisfied,No,I have helped develop them.,Very valuable,jZaetOwkguuLNloKyKRlrXZuQxkbAJHZeJfNcGiLuJdOJvFLuu,Select,BafDGWaAhthphzMlLUyRlJBruklnCKlIkcjZjuUifCoEjrTKZM,I need to know more about this tool to decide,mRmpPaeCPQqFsZDRMKDGxacDoWfDjwFkMuDJPzcwUmlAbqsFRA,fzCFvIuocIEsFegcmZWDmzKmunflMebZLsSDhlHCVTOIHDrMRO,Business case justification,Value demonstration,BRnuAHVhqpXGTPtVJriLxLUqIQTDHYNnwhqqlXNTATbJnPMzsV,"['Tools to easily create Assurance Cases', 'Value demonstration', 'Business case justification', 'Awareness Programs for Assurance', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training']",2021-12-08,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Extremely challenging,Extremely challenging,Not challenging at all,Slightly challenging,Extremely challenging,Moderately challenging,Extremely challenging,Very challenging,Extremely challenging,Slightly Relevant,Not Relevant,Very Relevant,Slightly Relevant,Moderately Relevant,Moderately Relevant,Very Relevant,Moderately Relevant,Not Relevant
67,abubgwtirh@example.com,United Kingdom,Electricity,Other,Indirectly (We support clients or provide components for their digital twins),LkvOVIvqlg,SNPIsOZWopGmInIdPRISSJeTDbEEQxGzJexxhGPuFsHuULRbEP,"Impact Assessment (e.g., assessing effects on stakeholders and environments)","Compliance Audits (e.g., verifying adherence to laws and regulations)",OJuVAwFAlc,Trustworthiness,Interoperability,BHWPMQcuTV,No,Somewhat Easy,Loss of control of data,Neutral,Strongly disagree,Digital Communications,Non-standardized written Reports,Strongly disagree,Agree,Somewhat satisfied,Yes  / Something similar,I've heard of them but don't know much.,Moderately valuable,nCwOtEiriuhaIQmjePwyZbclfzcrHizUTGNJVgagNnfvKyoCiD,Developed by an external consultant,QLHgHfOZMzoTXMpJfkncIbHsaOKZWFUNAYXaMJIEUznQOiNNqz,I need to know more about this tool to decide,GSYTsVElFLLulUrQrqeYwKmFiLLObVeDplvYNpsWoRHWZQWfaW,dipweaTusxGwyTSXHiesFqRtUyyYFomcDDMuZAQhxruphedjWC,Business case justification,Value demonstration,vyZXUagRWYoyMtDVxqtmUevWLYwkJcyypgkesxoFwnvtIBKJFH,"['Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Step-by-Step Guidance / Skills Training', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Awareness Programs for Assurance', 'Business case justification']",2021-11-28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Moderately challenging,Moderately challenging,Moderately challenging,Moderately challenging,Not challenging at all,Extremely challenging,Extremely challenging,Extremely challenging,Very Relevant,Not Relevant,Slightly Relevant,Not Relevant,Not Relevant,Moderately Relevant,Extremely Relevant,Slightly Relevant,Extremely Relevant
68,xjhonaiapg@example.com,Sweden,Technology,Middleware/API Developer,No,eYdDYkNlGg,GZaKDUrNTeDyMaApwnhILhAKHBEGevoRmVkgGXlVmiYgQuAnMs,"Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)","Operational Audits (e.g., reviewing operational processes to ensure they meet standards and are efficient)",azJzoyisYi,Interoperability,Sustainability,jdiDNFgMpv,Yes,Neutral,Intellectual Property Rights,Somewhat prepared,Disagree,Visual Aids,Non-standardized written Reports,Disagree,Strongly disagree,Very unsatisfied,No,I've heard of them but don't know much.,Not valuable at all,PaYGJgObUtXDQqHtfOfIhQloGCassxjxsCBwQYNNkwWouUJNoN,Internal governance process,UmKOfPIYZoJmJouxVwKTvGqoBYuxotZgiwCqWSrBtjjHcUhLyh,No,aRZMYbrVrohFSUKTpaThQmYzNFEmmhiWSGGuLhoaghbWRpAdtw,QuPuDQxOsqtlXUqvIXHpOPylEZUoqTFGJhhwvFDAriesmybfQu,Tools to easily create Assurance Cases,Other (Please specify),OoedacbizCRBnxuopZBZFyLQqQnlmaGCLaKUWfbluOdiqWYImR,"['Step-by-Step Guidance / Skills Training', 'Business case justification', 'Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2023-01-12,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderately challenging,Slightly challenging,Moderately challenging,Slightly challenging,Moderately challenging,Extremely challenging,Very challenging,Not challenging at all,Slightly challenging,Moderately Relevant,Not Relevant,Not Relevant,Moderately Relevant,Moderately Relevant,Very Relevant,Very Relevant,Slightly Relevant,Moderately Relevant
69,avlxfxkoeo@example.com,United Kingdom,Water,Technical Manager/Lead Developer,Yes,ReZlVQIGqU,VqCUIHHYLvOLkYRcaqCyaYIRdsjGRlIgYagsuKMWrDMMiLHxGY,"Service Quality Reviews (e.g., assessing and improving the quality and reliability of ongoing services)","Performance Monitoring (e.g., continuous assessment of system efficiency and effectiveness)",qrfgXgLDse,Accountability,Federation,BAXzBSnljf,Yes,Somewhat Easy,Concerns re confidentiality of data,Somewhat unprepared,Strongly agree,Not Systematically,Other,Strongly disagree,Agree,Somewhat satisfied,No,I've heard of them but don't know much.,Extremely valuable,qBydvEqwtqPScHynXAdGXUqvzgVzdBXkGITeuhXmFNkwoRFBpr,Adapted existing framework / standards,qGyeduRyoYKrgPptyfzKFdWcNTKxRSgvgnbpZWdMqqBxsGIgfE,No,XXweOtgCFtIyzCvWuPeHcIpHBWROvTIDIBNHDyFdRSuGFFaPxR,mmCCaLNzNMfbKPPoBDsNEyLubmptjwUjxyhOOfgsoQmUUwjDnr,Business case justification,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,PuOipKHWNGsEwLcPgElHysRTfwixzvHtINitOObjuVGaACKPac,"['Awareness Programs for Assurance', 'Tools to easily create Assurance Cases', 'Business case justification', 'Regulatory Clarity and Compliance Guidance', 'Value demonstration', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices']",2022-06-11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Extremely challenging,Not challenging at all,Very challenging,Very challenging,Not challenging at all,Not challenging at all,Slightly challenging,Extremely challenging,Not challenging at all,Extremely Relevant,Extremely Relevant,Slightly Relevant,Slightly Relevant,Slightly Relevant,Slightly Relevant,Not Relevant,Very Relevant,Moderately Relevant
70,pjuqflbpfc@example.com,United Kingdom,Technology,Semantic Web Technologist,Indirectly (We support clients or provide components for their digital twins),wczHDTgSjE,kbwybgdYaSStHNLZhWvWSsDUHMjGVfBxbojxbccnDVGonPLGuV,"Service Continuity Management (e.g., ensuring ongoing operational reliability)",Stakeholder Feedback Systems,uymgazrkvM,Federation,Robustness,QNyBDExqpa,Yes,Very Difficult,Interoperability,Neutral,Disagree,Meetings,Digital Communications,Agree,Strongly disagree,Somewhat unsatisfied,No,I've seen them but don't use them in my work.,Not valuable at all,ZLZrFPRKZdEGlXoQwjLyDoquJlcBVntxOvIEhmTxeKzVOrcoBc,Select,EkFcAMXlcgqPdEvQpVwDabPljvcbrRjVqHRdYFCXUqWacAyOoc,Yes,FxHQpsIJaivTjusCivQXJiedgQJOgmqVYUMOdkkKqvAQYrbkxQ,inYrhUVltbzMvQLnSjlXjJePFDwkktZwiaKpqBpXSAntjefsKZ,Community Forums and Collaboration Platforms to share example assurance arguments / best practices,Step-by-Step Guidance / Skills Training,tWUIKCRSRfquoWAWAwQFpKVZFkttViqosfVRfCBOYLThDPPdyo,"['Value demonstration', 'Regulatory Clarity and Compliance Guidance', 'Step-by-Step Guidance / Skills Training', 'Community Forums and Collaboration Platforms to share example assurance arguments / best practices', 'Awareness Programs for Assurance', 'Business case justification', 'Tools to easily create Assurance Cases']",2021-01-09,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not challenging at all,Slightly challenging,Moderately challenging,Moderately challenging,Extremely challenging,Extremely challenging,Not challenging at all,Not challenging at all,Moderately challenging,Slightly Relevant,Not Relevant,Very Relevant,Extremely Relevant,Extremely Relevant,Very Relevant,Extremely Relevant,Very Relevant,Slightly Relevant
